adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,tipo,origin_country_x,original_name,first_air_date,name,media_type,gender,known_for_department,profile_path,titulo_unico,ano_lancamento,tamanho_sinopse,popularidade_log,nota_ponderada,vote_count_log,popularidade_categoria,generos_nomes,runtime,budget,revenue,production_countries,origin_country_y,duracao_min,pais_codigo,pais_nome,lucro,lucro_log
False,/4BtL2vvEufDXDP4u6xQjjQ1Y2aT.jpg,"[28, 80, 53]",1419406,zh,捕风追影,A polícia de Macau remove o policial que é especialista em rastrear a aposentadoria para ajudar a capturar um grupo perigoso de ladrões profissionais.,501.8155,/uLmjQTgqXtuXRPOWfHB4vOmbgzt.jpg,2025-08-16,A Sombra Do Perigo,False,6.4,99,Filme (Popular),,,,,,,,,A Sombra Do Perigo,2025,24,6.220223303607685,0.01655258895449083,4.605170185988092,Muito Alta,"['Ação', 'Crime', 'Thriller']",142.0,0.0,702538.0,"[{'iso_3166_1': 'CN', 'name': 'China'}]","['CN', 'HK']",142.0,CN,China,702538.0,13.462456194663316
False,/tQMlHruS4pU2PKLf9CgWwkFR399.jpg,"[28, 12, 878]",1033462,zh,749局,,499.7803,/xW640PVBXLlzhrkQnAcvWNsehIO.jpg,2024-10-01,749局,False,5.387,31,Filme (Popular),,,,,,,,,749局,2024,0,6.216167481951463,0.004362741000052249,3.4657359027997265,Muito Alta,"['Ação', 'Aventura', 'Ficção científica']",123.0,0.0,51706251.0,"[{'iso_3166_1': 'CN', 'name': 'China'}]",['CN'],123.0,CN,China,51706251.0,17.761089260600674
False,/93mQVskuy8kZOXPoLve8P2E5zdD.jpg,"[28, 35]",1363123,en,The Family Plan 2,"Agora que os dias de assassino de Dan ficaram para trás, tudo o que ele quer no Natal é passar um tempo de qualidade com os filhos. Mas quando descobre que a filha tem seus próprios planos, ele marca uma viagem em família para Londres, colocando todos na mira de um inimigo inesperado.",416.9137,/aLgvLNWETZ2wtPzU3E7lavEpCJw.jpg,2025-11-11,Plano em Família 2,False,6.777,157,Filme (Popular),,,,,,,,,Plano em Família 2,2025,53,6.035274951878951,0.027796358221432678,5.062595033026967,Muito Alta,"['Ação', 'Comédia']",106.0,0.0,0.0,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],106.0,US,United States of America,0.0,0.0
False,/zEsHEpCGZwGg3M2b0oSZuaPLwBh.jpg,"[878, 28]",1309012,en,Altered,"Num presente alternativo, humanos geneticamente aprimorados dominam a sociedade. Os párias Leon e Chloe lutam por justiça contra políticos corruptos que exploram a disparidade genética, arriscando tudo para desafiar o sistema opressor.",330.9811,/6QlAcGRaUrgHcZ4WTBh5lsPnzKx.jpg,2025-09-18,Altered,False,6.8,29,Filme (Popular),,,,,,,,,Altered,2025,32,5.805078039585202,0.005151784314749987,3.4011973816621555,Muito Alta,"['Ficção científica', 'Ação']",85.0,15000000.0,0.0,"[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'IE', 'name': 'Ireland'}, {'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",['CA'],85.0,CA,Canada,-15000000.0,0.0
False,/hpXBJxLD2SEf8l2CspmSeiHrBKX.jpg,"[18, 27, 14]",1062722,en,Frankenstein,"Dr. Victor Frankenstein, um cientista brilhante, mas egoísta, dá vida a uma criatura em um experimento monstruoso que acaba levando à ruína tanto do criador quanto de sua trágica criação.",275.5065,/cXsMxClCcAF1oMwoXZvbKwWoNeS.jpg,2025-10-17,Frankenstein,False,7.772,1855,Filme (Popular),,,,,,,,,Frankenstein,2025,30,5.6222343288235095,0.37664089032864834,7.526178913346146,Muito Alta,"['Drama', 'Terror', 'Fantasia']",149.0,120000000.0,480678.0,"[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'CA', 'name': 'Canada'}]",['US'],149.0,US,United States of America,-119519322.0,0.0
False,/7FDVhmCur4LMOfnXMteiSCtsdOb.jpg,"[28, 12, 14]",1116465,zh,传说,"Um arqueólogo descobriu relíquias em uma geleira que se assemelhavam a um pingente de jade dos sonhos, o que levou ele e sua equipe a explorar as profundezas da geleira.",218.8577,/5FwRyhdnR40XMlINUR6CPu2hmqr.jpg,2024-07-05,A Lenda: Em Busca do Medalhão Sagrado,False,6.745,100,Filme (Popular),,,,,,,,,A Lenda: Em Busca do Medalhão Sagrado,2024,30,5.392980518893416,0.017621087831130155,4.61512051684126,Muito Alta,"['Ação', 'Aventura', 'Fantasia']",129.0,0.0,11242056.0,"[{'iso_3166_1': 'CN', 'name': 'China'}, {'iso_3166_1': 'HK', 'name': 'Hong Kong'}]",['CN'],129.0,CN,China,11242056.0,16.2351723928035
False,/zpEWFNqoN8Qg1SzMMHmaGyOBTdW.jpg,"[28, 53, 80]",1054867,en,One Battle After Another,"Bob, um revolucionário fracassado, vive chapado e em um estado de paranoia, sobrevivendo isolado com Willa, sua filha espirituosa e independente. Quando seu perverso arqui-inimigo ressurge após 16 anos e ela desaparece, o ex-radical corre para encontrá-la, pai e filha tendo que enfrentar as consequências do passado dele.",199.2569,/2peYXW6CoruehDnKJGMjl2NuaNB.jpg,2025-09-23,Uma Batalha Após a Outra,False,7.5,1629,Filme (Popular),,,,,,,,,Uma Batalha Após a Outra,2025,48,5.2996010422836815,0.31917811797899576,7.396335293800808,Muito Alta,"['Ação', 'Thriller', 'Crime']",161.0,130000000.0,201175005.0,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],161.0,US,United States of America,71175005.0,18.080652275427635
False,/l8pwO23MCvqYumzozpxynCNfck1.jpg,"[14, 12, 10749]",967941,en,Wicked: For Good,"Elphaba, agora demonizada como a Bruxa Má do Oeste, vive no exílio, escondida na floresta de Oz, e tenta desesperadamente expor a verdade que conhece sobre o Mágico. Enquanto isso, Glinda se tornou o glamouroso símbolo da bondade para todo o reino de Oz e desfruta das vantagens da fama e da popularidade. Quando uma multidão enfurecida se ergue contra a Bruxa Má, Glinda e Elphaba vão precisar se unir uma última vez.",207.2776,/dtEQlBNKMlT2vIoRFkPSErZBKQg.jpg,2025-11-19,Wicked: Parte II,False,6.772,228,Filme (Popular),,,,,,,,,Wicked: Parte II,2025,73,5.338871805278433,0.04033690370447777,5.43372200355424,Muito Alta,"['Fantasia', 'Aventura', 'Romance']",138.0,150000000.0,237743055.0,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],138.0,US,United States of America,87743055.0,18.28992328327586
False,,[],1481331,en,Nahual,,167.5356,/gQZn4Rx3LpIBnFunH1AKxAMYYd9.jpg,2025-02-06,Nahual,False,3.25,8,Filme (Popular),,,,,,,,,Nahual,2025,0,5.127147003441185,0.0006792413396729192,2.1972245773362196,Muito Alta,[],98.0,0.0,0.0,[],['US'],98.0,,,0.0,0.0
False,/zmfaCjc4MNUWgEztT3pOOyMSMBw.jpg,"[28, 80, 53]",1426968,es,Ya no quedan junglas,,190.3085,/pzKeASTj4HitqVXB1cdvswmMV50.jpg,2025-09-26,Ya no quedan junglas,False,6.4,9,Filme (Popular),,,,,,,,,Ya no quedan junglas,2025,0,5.253887308287117,0.001504780814044621,2.302585092994046,Muito Alta,"['Ação', 'Crime', 'Thriller']",89.0,0.0,0.0,"[{'iso_3166_1': 'ES', 'name': 'Spain'}, {'iso_3166_1': 'MX', 'name': 'Mexico'}]",['ES'],89.0,ES,Spain,0.0,0.0
